name,size
16 x 1 1/2 / 40-349,16.88
16 x 1 3/8 / 35-349,16.07
16 x 1.5 / 37-305,14.92
17 x 1 1/4 / 32-369,16.60
18 x 1.5 / 40-355,17.16
20 X 1.25 / 32-406,18.43
20 X 1.75 / 44-406 / BMX,18.68
24 x 1 / 25-520,21.97
24 x 2.1 / 54-507,23.95
24 x 2.5 / 65-507,24.35
24 x 2/3 / 60-507,24.15
24&#34; (nominal),24
26 inch (nominal),26
26 X 1 3/8 / 35-590,25.91
26 X 1.0 / 25-559 / MTB,23.97
26 X 1.25 / 32-559 / MTB,24.47
26 X 1.5 / 38-559 / MTB,24.87
26 X 1.9 / 47-559 / MTB,25.75
26 X 2.125 / 54-559 / MTB,25.94
26 X 2.35 / 60-559 / MTB,26.41
26 x 3.8 / 97-559 fatbike at 10 PSI<,28.17
26 x 4.0 / 102-559 fatbike at 10 PSI<,28.57
26 x 4.25 / 108-559 fatbike at 10 PSI<,29.07
26 x 4.7 / 119-559 fatbike at 10 PSI<,29.97
27 inch (nominal),27
27 X 1 / 25-630,26.88
27 X 1 1/4 / 32-630,27.08
27 X 1 1/8 / 28-630,27
27 X 1 3/8 / 35-630,27.18
28 inch (nominal),28
28 X 1 1/2 / 40-635,28.15
28-451/20 x 1 1/8,19.90
29 x 1.9 / 47-622,27.33
29 x 2.1 / 54-622,27.63
29 x 2.3 / 60-622,28.94
29 x 2.7 / 70-622,29.54
29 x 3.0 / 75-622,29.90
32 x 2.125 / 54/686,30.94
32-451 /20 x 1 3/8,20.15
36 x 2.25 / 57-787,35.65
650 x 23C / 23-571 / 26&#34; road/tri,24.31
650 x 25C / 25-571 / 26&#34; road/tri,24.46
650 x 28C / 28-571 / 26&#34; road/tri,24.70
650 x 38B / 38-584 / 650B,26.00
650B (“27.5”) x 2.0 / 51-584 / MTB,27.68
650B (“27.5”) x 2.5 / 64-584 / MTB,28.18
650B (“27.5”) x 2.8 / 71-584 / MTB,28.48
650B (“27.5”) x 3.0 / 76-584 / MTB,28.68
700 X 20 / 20-622,26.14
700 X 23 / 23-622,26.28
700 X 25 / 25-622,26.38
700 X 28 / 28-622,26.68
700 X 30 / 30-622,26.88
700 X 32 / 32-622,27
700 X 35 / 35-622,27.17
700 X 38 / 38-622,27.32
700 X 44 / 44-622 / 29 x 1.75,27.86
700 X 50 / 50-622 / 29 x 2.0,28.94
700 X 56 / 56-622 / 29 x 2.2,29.13
Tubular / Narrow,26.38
Tubular / Wide,26.53
